ModemTime,Longitude,Latitude
2022-05-04 08:27:37.000,"43,899,635","2,039,539"
2022-05-04 08:27:41.000,"438,995,483","203,951,766"
2022-05-04 08:28:11.000,"438,974,183","203,921,333"
2022-05-04 08:28:42.000,"4,389,448","203,878,333"
2022-05-04 08:29:12.000,"438,911,416","2,038,489"
2022-05-04 08:29:42.000,"438,880,033","2,038,248"
2022-05-04 08:30:12.000,"4,388,742","203,819,766"
2022-05-04 08:30:41.000,"4,388,742","203,819,766"
2022-05-04 08:31:11.000,"4,388,742","203,819,766"
2022-05-04 08:31:41.000,"438,859,216","20,380,655"
2022-05-04 08:32:12.000,"438,839,733","203,781,533"
2022-05-04 08:32:30.000,"438,833,016","203,766,266"
2022-05-04 08:32:35.000,"438,835,683","203,765,066"
2022-05-04 08:32:53.000,"438,843,716","203,768,166"
2022-05-04 08:33:23.000,"438,849,566","203,751,233"
2022-05-04 08:33:53.000,"438,851,933","203,740,633"
2022-05-04 08:34:15.000,"438,850,916","20,374,065"
2022-05-04 08:34:15.010,"438,850,916","20,374,065"
2022-05-04 08:35:15.000,"438,850,916","20,374,065"
2022-05-04 08:45:46.000,"438,850,883","203,740,683"
2022-05-04 08:45:47.000,"438,850,883","203,740,683"
2022-05-04 08:45:47.010,"438,850,883","203,740,683"
2022-05-04 08:46:14.000,"438,851,366","203,740,399"
2022-05-04 08:46:14.010,"438,851,366","203,740,399"
2022-05-04 08:58:16.000,"438,851,366","203,740,399"
2022-05-04 08:58:17.000,"438,852,283","203,740,399"
2022-05-04 08:58:17.010,"438,852,283","203,740,399"
2022-05-04 08:58:34.000,"438,851,333","203,741,733"
2022-05-04 08:58:52.000,"438,850,983","203,741,066"
2022-05-04 08:59:06.000,"438,851,733","203,740,066"
2022-05-04 08:59:06.010,"438,851,733","203,740,066"
2022-05-04 09:00:05.000,"438,851,733","203,740,066"
2022-05-04 09:30:43.000,"438,851,733","203,740,066"
2022-05-04 09:30:44.000,"438,852,583","203,740,183"
2022-05-04 09:30:45.000,"438,852,583","203,740,183"
2022-05-04 09:31:04.000,"438,852,483","203,741,316"
2022-05-04 09:31:05.000,"438,852,649","2,037,419"
2022-05-04 09:31:36.000,"438,844","20,376,635"
2022-05-04 09:31:42.000,"438,840,416","2,037,668"
2022-05-04 09:32:12.000,"43,882,075","203,743,133"
2022-05-04 09:32:38.000,"438,806,583","203,714,133"
2022-05-04 09:33:08.000,"43,879,405","203,738,116"
2022-05-04 09:33:38.000,"438,787,533","203,763,183"
2022-05-04 09:33:53.000,"4,387,799","203,760,266"
2022-05-04 09:34:24.000,"4,387,688","203,752,566"
2022-05-04 09:34:54.000,"438,754,216","203,739,083"
2022-05-04 09:35:24.000,"438,744,049","203,723"
2022-05-04 09:35:53.000,"438,731,616","203,702,233"
2022-05-04 09:36:23.000,"438,744,333","203,670,933"
2022-05-04 09:36:53.000,"4,387,377","20,363,295"
2022-05-04 09:37:07.000,"438,736,883","203,632,033"
